PID,PID3/4,HP1,HP2,HP3,CryoSleep,DB,DC,DC4/5,Side,D1,D2,D3,NormAge,VIP,NormRoomService,NormFoodCourt,NormShoppingMall,NormSpa,NromVRDeck,Transported
1,0,0,0,1,-1,1,0,0,-1,1,0,0,0.73,-1,-0.33,-0.28,-0.29,-0.28,-0.27,0
1,0,1,0,0,-1,0,0,0,1,1,0,0,-0.27,-1,-0.15,-0.28,-0.25,0.22,-0.23,1
1,0,0,0,1,-1,0,0,0,1,1,0,0,2,1,-0.26,1.95,-0.29,5.82,-0.23,0
1,0,0,0,1,-1,0,0,0,1,1,0,0,0.33,-1,-0.33,0.52,0.33,2.74,-0.1,0
1,0,1,0,0,-1,0,0,0,1,1,0,0,-0.8,-1,0.17,-0.24,-0.04,0.23,-0.27,1
1,0,1,0,0,-1,0,0,0,-1,0,1,0,1.07,-1,-0.33,0.02,-0.29,-0.02,-0.27,1
1,0,1,0,0,-1,0,0,0,1,1,0,0,-0.13,-1,-0.26,0.68,-0.29,-0.28,-0.27,1
1,0,1,0,0,1,0,0,0,1,1,0,0,0,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
1,0,1,0,0,-1,0,0,0,1,1,0,0,0.47,-1,-0.33,0.21,-0.26,-0.09,-0.27,1
1,0,0,0,1,1,1,0,0,-1,0,0,1,-0.93,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
1,0,0,0,1,1,1,0,0,-1,1,0,0,0.4,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
0,1,0,0,1,-1,1,0,0,-1,0,0,1,1.13,-1,-0.27,4.28,0.69,-0.18,-0.16,1
1,0,0,1,0,-1,0,0,0,-1,1,0,0,0.27,-1,-0.21,-0.28,1.58,-0.28,-0.17,1
1,0,1,0,0,-1,0,0,0,1,1,0,0,1.33,-1,0.87,-0.28,-0.18,-0.28,-0.25,0
1,0,1,0,0,-1,0,0,0,-1,1,0,0,0,-1,-0.32,0.33,-0.27,-0.28,-0.27,1
1,0,1,0,0,-1,0,0,0,0,1,0,0,0.2,-1,-0.28,-0.28,1.17,-0.28,-0.27,0
1,0,0,1,0,-1,0,0,0,-1,0,0,1,-0.07,-1,1.81,-0.21,-0.29,-0.28,-0.27,0
1,0,1,0,0,-1,0,0,0,-1,0,0,1,-0.27,-1,-0.33,-0.28,-0.29,-0.28,0.31,0
1,0,0,1,0,1,0,0,0,-1,1,0,0,1.13,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
1,0,1,0,0,-1,0,0,0,-1,1,0,0,-1.87,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
1,0,1,0,0,-1,0,0,0,-1,0,0,1,-0.93,-1,0.35,-0.28,-0.29,-0.28,0.34,0
1,0,1,0,0,1,0,0,0,1,1,0,0,-1.8,-1,-0.33,-0.28,-0.29,-0.28,-0.27,0
1,0,1,0,0,1,0,0,0,1,0,0,1,1.4,-1,-0.33,-0.28,-0.29,-0.28,-0.27,0
0,1,1,0,0,1,0,0,0,1,0,0,1,0.07,-1,-0.33,-0.28,-0.29,-0.28,-0.27,0
0,1,1,0,0,-1,0,0,0,1,1,0,0,-1.2,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
1,0,1,0,0,1,0,0,0,1,0,1,0,-1.8,-1,-0.33,-0.28,-0.29,-0.28,-0.27,0
1,0,1,0,0,-1,0,0,0,1,1,0,0,-1.4,-1,-0.33,-0.28,-0.29,-0.28,-0.27,0
1,0,0,1,0,-1,0,0,0,-1,1,0,0,-0.47,-1,1.3,-0.28,-0.18,-0.28,-0.27,0
1,0,0,0,1,1,0,1,0,1,1,0,0,2.27,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
1,0,1,0,0,-1,0,0,0,1,1,0,0,-0.87,-1,-0.33,-0.14,-0.29,0.63,-0.27,0
1,0,0,0,1,-1,0,1,0,-1,0,0,1,0.4,-1,-0.3,3.51,-0.29,1.03,0.03,0
1,0,0,1,0,-1,0,0,0,-1,1,0,0,1,-1,1.54,-0.28,-0.07,-0.24,-0.27,0
1,0,1,0,0,-1,0,0,0,1,1,0,0,0.27,-1,-0.33,0.25,-0.16,0.12,0.14,0
1,0,0,1,0,-1,0,0,0,-1,1,0,0,1.27,-1,0.02,-0.28,2.06,-0.28,0.84,1
1,0,0,1,0,-1,0,0,0,-1,1,0,0,-1.73,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
0,1,0,1,0,-1,0,0,0,-1,1,0,0,-0.53,-1,-0.33,-0.28,2.63,0.62,-0.27,1
1,0,0,0,1,1,0,0,0,1,0,0,1,0,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
1,0,0,1,0,-1,0,0,0,-1,0,0,1,-0.33,-1,0.97,0.32,-0.29,0.58,-0.27,0
1,0,1,0,0,-1,0,0,0,1,0,0,1,-0.87,-1,-0.33,0.03,-0.21,-0.26,0.09,0
1,0,1,0,0,-1,0,0,0,1,0,0,1,-0.53,-1,0.59,-0.16,-0.29,2.09,-0.27,0
1,0,1,0,0,1,0,0,0,-1,0,0,1,0.13,-1,-0.33,-0.28,-0.29,-0.28,-0.27,0
1,0,1,0,0,1,0,0,0,-1,1,0,0,-0.73,-1,-0.33,-0.28,-0.29,-0.28,-0.27,1
1,0,0,0,1,-1,1,0,0,-1,1,0,0,1.13,-1,-0.33,-0.18,-0.22,2,0.5,0
1,0,1,0,0,1,0,0,0,-1,1,0,0,1.8,-1,-0.33,-0.28,-0.29,-0.28,-0.27,0
